suhu udara,kelembaban udara,suhu tanah,kelembaban tanah,cahaya,arus solar,arus aki,tegangan solar,tegangan aki,status,frequency,support
dingin,lembab,dingin,sedang,berawan,sedang,sedang,tinggi,maksimal,mendung siram,1,1.6702856188408217e-05
dingin,lembab,dingin,sedang,gelap,rendah,maksimal,tinggi,maksimal,mendung siram,31,0.0005177885418406547
dingin,lembab,dingin,sedang,gelap,rendah,minimal,lemah,rendah,mendung kering,201,0.003357274093870052
dingin,lembab,dingin,sedang,gelap,rendah,sedang,tinggi,maksimal,mendung siram,31,0.0005177885418406547
dingin,lembab,dingin,sedang,gelap,sedang,maksimal,tinggi,maksimal,mendung siram,7,0.00011691999331885753
dingin,lembab,dingin,sedang,gelap,sedang,minimal,lemah,rendah,mendung kering,45,0.0007516285284783699
dingin,lembab,dingin,sedang,gelap,sedang,sedang,tinggi,maksimal,mendung siram,7,0.00011691999331885753
dingin,lembab,panas,kering,berawan,rendah,minimal,lemah,rendah,mendung kering,315,0.0052613996993485885
dingin,lembab,panas,kering,berawan,sedang,minimal,lemah,rendah,mendung kering,89,0.0014865542007683314
dingin,lembab,panas,kering,gelap,rendah,minimal,lemah,rendah,mendung kering,887,0.014815433439118088
dingin,lembab,panas,kering,gelap,sedang,minimal,lemah,rendah,mendung kering,226,0.003774845498580257
dingin,lembab,panas,sedang,berawan,rendah,maksimal,tinggi,maksimal,mendung siram,18,0.00030065141139134794
dingin,lembab,panas,sedang,berawan,rendah,minimal,lemah,rendah,mendung kering,104,0.0017370970435944546
dingin,lembab,panas,sedang,berawan,rendah,sedang,tinggi,maksimal,mendung siram,27,0.00045097711708702186
dingin,lembab,panas,sedang,berawan,sedang,maksimal,tinggi,maksimal,mendung siram,6,0.00010021713713044931
dingin,lembab,panas,sedang,berawan,sedang,minimal,lemah,rendah,mendung kering,37,0.0006180056789711041
dingin,lembab,panas,sedang,berawan,sedang,sedang,tinggi,maksimal,mendung siram,2,3.3405712376816434e-05
dingin,lembab,panas,sedang,gelap,rendah,maksimal,tinggi,maksimal,mendung siram,62,0.0010355770836813095
dingin,lembab,panas,sedang,gelap,rendah,minimal,lemah,rendah,mendung kering,364,0.006079839652580591
dingin,lembab,panas,sedang,gelap,rendah,sedang,tinggi,maksimal,mendung siram,69,0.001152497077000167
dingin,lembab,panas,sedang,gelap,sedang,maksimal,tinggi,maksimal,mendung siram,21,0.00035075997995657256
dingin,lembab,panas,sedang,gelap,sedang,minimal,lemah,rendah,mendung kering,113,0.0018874227492901286
dingin,lembab,panas,sedang,gelap,sedang,sedang,tinggi,maksimal,mendung siram,16,0.00026724569901453147
dingin,lembab,sedang,kering,berawan,rendah,minimal,lemah,rendah,mendung kering,267,0.004459662602304994
dingin,lembab,sedang,kering,berawan,sedang,minimal,lemah,rendah,mendung kering,71,0.0011859027893769834
dingin,lembab,sedang,kering,gelap,rendah,minimal,lemah,rendah,mendung kering,881,0.01471521630198764
dingin,lembab,sedang,kering,gelap,sedang,minimal,lemah,rendah,mendung kering,225,0.003758142642391849
dingin,lembab,sedang,sedang,berawan,rendah,maksimal,tinggi,maksimal,mendung siram,18,0.00030065141139134794
dingin,lembab,sedang,sedang,berawan,rendah,minimal,lemah,rendah,mendung kering,99,0.0016535827626524135
dingin,lembab,sedang,sedang,berawan,rendah,sedang,tinggi,maksimal,mendung siram,19,0.00031735426757975615
dingin,lembab,sedang,sedang,berawan,sedang,maksimal,tinggi,maksimal,mendung siram,4,6.681142475363287e-05
dingin,lembab,sedang,sedang,berawan,sedang,minimal,lemah,rendah,mendung kering,19,0.00031735426757975615
dingin,lembab,sedang,sedang,berawan,sedang,sedang,tinggi,maksimal,mendung siram,3,5.0108568565224654e-05
dingin,lembab,sedang,sedang,gelap,rendah,maksimal,tinggi,maksimal,mendung siram,60,0.001002171371304493
dingin,lembab,sedang,sedang,gelap,rendah,minimal,lemah,rendah,mendung kering,332,0.005545348254551529
dingin,lembab,sedang,sedang,gelap,rendah,sedang,tinggi,maksimal,mendung siram,48,0.0008017370970435945
dingin,lembab,sedang,sedang,gelap,sedang,maksimal,tinggi,maksimal,mendung siram,17,0.0002839485552029397
dingin,lembab,sedang,sedang,gelap,sedang,minimal,lemah,rendah,mendung kering,81,0.0013529313512610657
dingin,lembab,sedang,sedang,gelap,sedang,sedang,tinggi,maksimal,mendung siram,12,0.00020043427426089862
panas,kering,dingin,lembab,berawan,sedang,maksimal,cukup,maksimal,cerah siram,40,0.0006681142475363287
panas,kering,dingin,lembab,berawan,sedang,maksimal,cukup,normal,cerah siram,126,0.0021045598797394356
panas,kering,dingin,lembab,berawan,sedang,maksimal,cukup,rendah,cerah siram,20,0.00033405712376816435
panas,kering,dingin,lembab,berawan,sedang,maksimal,lemah,maksimal,cerah siram,7,0.00011691999331885753
panas,kering,dingin,lembab,berawan,sedang,maksimal,lemah,normal,cerah siram,17,0.0002839485552029397
panas,kering,dingin,lembab,berawan,sedang,maksimal,lemah,rendah,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,lembab,berawan,sedang,maksimal,tinggi,maksimal,cerah siram,12,0.00020043427426089862
panas,kering,dingin,lembab,berawan,sedang,maksimal,tinggi,normal,cerah siram,14,0.00023383998663771506
panas,kering,dingin,lembab,berawan,sedang,maksimal,tinggi,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,lembab,berawan,sedang,sedang,cukup,maksimal,cerah siram,53,0.0008852513779856355
panas,kering,dingin,lembab,berawan,sedang,sedang,cukup,normal,cerah siram,128,0.0021379655921162518
panas,kering,dingin,lembab,berawan,sedang,sedang,cukup,rendah,cerah siram,9,0.00015032570569567397
panas,kering,dingin,lembab,berawan,sedang,sedang,lemah,maksimal,cerah siram,8,0.00013362284950726574
panas,kering,dingin,lembab,berawan,sedang,sedang,lemah,normal,cerah siram,14,0.00023383998663771506
panas,kering,dingin,lembab,berawan,sedang,sedang,lemah,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,berawan,sedang,sedang,tinggi,maksimal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,lembab,berawan,sedang,sedang,tinggi,normal,cerah siram,14,0.00023383998663771506
panas,kering,dingin,lembab,berawan,tinggi,maksimal,cukup,maksimal,cerah siram,32,0.0005344913980290629
panas,kering,dingin,lembab,berawan,tinggi,maksimal,cukup,normal,cerah siram,86,0.0014364456322031067
panas,kering,dingin,lembab,berawan,tinggi,maksimal,cukup,rendah,cerah siram,6,0.00010021713713044931
panas,kering,dingin,lembab,berawan,tinggi,maksimal,lemah,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,berawan,tinggi,maksimal,lemah,normal,cerah siram,16,0.00026724569901453147
panas,kering,dingin,lembab,berawan,tinggi,maksimal,tinggi,maksimal,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,lembab,berawan,tinggi,maksimal,tinggi,normal,cerah siram,12,0.00020043427426089862
panas,kering,dingin,lembab,berawan,tinggi,sedang,cukup,maksimal,cerah siram,35,0.0005845999665942877
panas,kering,dingin,lembab,berawan,tinggi,sedang,cukup,normal,cerah siram,82,0.0013696342074494738
panas,kering,dingin,lembab,berawan,tinggi,sedang,cukup,rendah,cerah siram,8,0.00013362284950726574
panas,kering,dingin,lembab,berawan,tinggi,sedang,lemah,maksimal,cerah siram,8,0.00013362284950726574
panas,kering,dingin,lembab,berawan,tinggi,sedang,lemah,normal,cerah siram,7,0.00011691999331885753
panas,kering,dingin,lembab,berawan,tinggi,sedang,lemah,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,lembab,berawan,tinggi,sedang,tinggi,maksimal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,lembab,berawan,tinggi,sedang,tinggi,normal,cerah siram,13,0.00021713713044930682
panas,kering,dingin,lembab,berawan,tinggi,sedang,tinggi,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,lembab,terang,sedang,maksimal,cukup,maksimal,cerah siram,31,0.0005177885418406547
panas,kering,dingin,lembab,terang,sedang,maksimal,cukup,normal,cerah siram,74,0.0012360113579422082
panas,kering,dingin,lembab,terang,sedang,maksimal,cukup,rendah,cerah siram,4,6.681142475363287e-05
panas,kering,dingin,lembab,terang,sedang,maksimal,lemah,maksimal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,lembab,terang,sedang,maksimal,lemah,normal,cerah siram,10,0.00016702856188408218
panas,kering,dingin,lembab,terang,sedang,maksimal,lemah,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,terang,sedang,maksimal,tinggi,maksimal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,lembab,terang,sedang,maksimal,tinggi,normal,cerah siram,18,0.00030065141139134794
panas,kering,dingin,lembab,terang,sedang,sedang,cukup,maksimal,cerah siram,21,0.00035075997995657256
panas,kering,dingin,lembab,terang,sedang,sedang,cukup,normal,cerah siram,87,0.001453148488391515
panas,kering,dingin,lembab,terang,sedang,sedang,cukup,rendah,cerah siram,10,0.00016702856188408218
panas,kering,dingin,lembab,terang,sedang,sedang,lemah,maksimal,cerah siram,8,0.00013362284950726574
panas,kering,dingin,lembab,terang,sedang,sedang,lemah,normal,cerah siram,9,0.00015032570569567397
panas,kering,dingin,lembab,terang,sedang,sedang,tinggi,maksimal,cerah siram,8,0.00013362284950726574
panas,kering,dingin,lembab,terang,sedang,sedang,tinggi,normal,cerah siram,12,0.00020043427426089862
panas,kering,dingin,lembab,terang,sedang,sedang,tinggi,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,terang,tinggi,maksimal,cukup,maksimal,cerah siram,13,0.00021713713044930682
panas,kering,dingin,lembab,terang,tinggi,maksimal,cukup,normal,cerah siram,47,0.0007850342408551863
panas,kering,dingin,lembab,terang,tinggi,maksimal,cukup,rendah,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,lembab,terang,tinggi,maksimal,lemah,maksimal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,lembab,terang,tinggi,maksimal,lemah,normal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,lembab,terang,tinggi,maksimal,tinggi,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,terang,tinggi,maksimal,tinggi,normal,cerah siram,9,0.00015032570569567397
panas,kering,dingin,lembab,terang,tinggi,maksimal,tinggi,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,lembab,terang,tinggi,sedang,cukup,maksimal,cerah siram,14,0.00023383998663771506
panas,kering,dingin,lembab,terang,tinggi,sedang,cukup,normal,cerah siram,40,0.0006681142475363287
panas,kering,dingin,lembab,terang,tinggi,sedang,cukup,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,terang,tinggi,sedang,lemah,maksimal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,lembab,terang,tinggi,sedang,lemah,normal,cerah siram,9,0.00015032570569567397
panas,kering,dingin,lembab,terang,tinggi,sedang,tinggi,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,lembab,terang,tinggi,sedang,tinggi,normal,cerah siram,10,0.00016702856188408218
panas,kering,dingin,lembab,terang,tinggi,sedang,tinggi,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,sedang,berawan,sedang,maksimal,cukup,maksimal,cerah siram,18,0.00030065141139134794
panas,kering,dingin,sedang,berawan,sedang,maksimal,cukup,normal,cerah siram,40,0.0006681142475363287
panas,kering,dingin,sedang,berawan,sedang,maksimal,cukup,rendah,cerah siram,8,0.00013362284950726574
panas,kering,dingin,sedang,berawan,sedang,maksimal,lemah,maksimal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,sedang,berawan,sedang,maksimal,lemah,normal,cerah siram,16,0.00026724569901453147
panas,kering,dingin,sedang,berawan,sedang,maksimal,lemah,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,berawan,sedang,maksimal,tinggi,maksimal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,berawan,sedang,maksimal,tinggi,normal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,berawan,sedang,sedang,cukup,maksimal,cerah siram,13,0.00021713713044930682
panas,kering,dingin,sedang,berawan,sedang,sedang,cukup,normal,cerah siram,44,0.0007349256722899615
panas,kering,dingin,sedang,berawan,sedang,sedang,cukup,rendah,cerah siram,9,0.00015032570569567397
panas,kering,dingin,sedang,berawan,sedang,sedang,lemah,maksimal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,sedang,berawan,sedang,sedang,lemah,normal,cerah siram,9,0.00015032570569567397
panas,kering,dingin,sedang,berawan,sedang,sedang,lemah,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,sedang,berawan,sedang,sedang,tinggi,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,berawan,sedang,sedang,tinggi,normal,cerah siram,8,0.00013362284950726574
panas,kering,dingin,sedang,berawan,sedang,sedang,tinggi,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,berawan,tinggi,maksimal,cukup,maksimal,cerah siram,7,0.00011691999331885753
panas,kering,dingin,sedang,berawan,tinggi,maksimal,cukup,normal,cerah siram,28,0.0004676799732754301
panas,kering,dingin,sedang,berawan,tinggi,maksimal,cukup,rendah,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,berawan,tinggi,maksimal,lemah,maksimal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,sedang,berawan,tinggi,maksimal,lemah,normal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,berawan,tinggi,maksimal,lemah,rendah,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,sedang,berawan,tinggi,maksimal,tinggi,maksimal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,sedang,berawan,tinggi,maksimal,tinggi,normal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,berawan,tinggi,maksimal,tinggi,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,berawan,tinggi,sedang,cukup,maksimal,cerah siram,13,0.00021713713044930682
panas,kering,dingin,sedang,berawan,tinggi,sedang,cukup,normal,cerah siram,27,0.00045097711708702186
panas,kering,dingin,sedang,berawan,tinggi,sedang,cukup,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,berawan,tinggi,sedang,lemah,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,berawan,tinggi,sedang,lemah,normal,cerah siram,4,6.681142475363287e-05
panas,kering,dingin,sedang,berawan,tinggi,sedang,tinggi,normal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,sedang,terang,sedang,maksimal,cukup,maksimal,cerah siram,9,0.00015032570569567397
panas,kering,dingin,sedang,terang,sedang,maksimal,cukup,normal,cerah siram,22,0.00036746283614498077
panas,kering,dingin,sedang,terang,sedang,maksimal,cukup,rendah,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,terang,sedang,maksimal,lemah,maksimal,cerah siram,5,8.351428094204109e-05
panas,kering,dingin,sedang,terang,sedang,maksimal,lemah,normal,cerah siram,8,0.00013362284950726574
panas,kering,dingin,sedang,terang,sedang,maksimal,tinggi,maksimal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,sedang,terang,sedang,maksimal,tinggi,normal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,sedang,terang,sedang,sedang,cukup,maksimal,cerah siram,14,0.00023383998663771506
panas,kering,dingin,sedang,terang,sedang,sedang,cukup,normal,cerah siram,30,0.0005010856856522465
panas,kering,dingin,sedang,terang,sedang,sedang,cukup,rendah,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,terang,sedang,sedang,lemah,maksimal,cerah siram,4,6.681142475363287e-05
panas,kering,dingin,sedang,terang,sedang,sedang,lemah,normal,cerah siram,14,0.00023383998663771506
panas,kering,dingin,sedang,terang,sedang,sedang,tinggi,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,terang,sedang,sedang,tinggi,normal,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,sedang,terang,tinggi,maksimal,cukup,maksimal,cerah siram,6,0.00010021713713044931
panas,kering,dingin,sedang,terang,tinggi,maksimal,cukup,normal,cerah siram,24,0.00040086854852179724
panas,kering,dingin,sedang,terang,tinggi,maksimal,cukup,rendah,cerah siram,3,5.0108568565224654e-05
panas,kering,dingin,sedang,terang,tinggi,maksimal,lemah,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,terang,tinggi,maksimal,lemah,normal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,terang,tinggi,maksimal,tinggi,maksimal,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,sedang,terang,tinggi,maksimal,tinggi,normal,cerah siram,1,1.6702856188408217e-05
panas,kering,dingin,sedang,terang,tinggi,sedang,cukup,maksimal,cerah siram,7,0.00011691999331885753
panas,kering,dingin,sedang,terang,tinggi,sedang,cukup,normal,cerah siram,23,0.00038416569233338903
panas,kering,dingin,sedang,terang,tinggi,sedang,cukup,rendah,cerah siram,4,6.681142475363287e-05
panas,kering,dingin,sedang,terang,tinggi,sedang,lemah,maksimal,cerah siram,2,3.3405712376816434e-05
panas,kering,dingin,sedang,terang,tinggi,sedang,lemah,normal,cerah siram,7,0.00011691999331885753
panas,kering,dingin,sedang,terang,tinggi,sedang,tinggi,normal,cerah siram,2,3.3405712376816434e-05
panas,kering,panas,kering,berawan,sedang,minimal,cukup,normal,cerah kering,29,0.0004843828294638383
panas,kering,panas,kering,berawan,sedang,minimal,cukup,rendah,cerah kering,4,6.681142475363287e-05
panas,kering,panas,kering,berawan,sedang,minimal,lemah,normal,cerah kering,8,0.00013362284950726574
panas,kering,panas,kering,berawan,sedang,minimal,tinggi,normal,cerah kering,4,6.681142475363287e-05
panas,kering,panas,kering,berawan,sedang,minimal,tinggi,rendah,cerah kering,1,1.6702856188408217e-05
panas,kering,panas,kering,berawan,sedang,sedang,cukup,normal,cerah kering,76,0.0012694170703190246
panas,kering,panas,kering,berawan,sedang,sedang,cukup,rendah,cerah kering,17,0.0002839485552029397
panas,kering,panas,kering,berawan,sedang,sedang,lemah,normal,cerah kering,12,0.00020043427426089862
panas,kering,panas,kering,berawan,sedang,sedang,lemah,rendah,cerah kering,3,5.0108568565224654e-05
panas,kering,panas,kering,berawan,sedang,sedang,tinggi,normal,cerah kering,8,0.00013362284950726574
panas,kering,panas,kering,berawan,sedang,sedang,tinggi,rendah,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,berawan,tinggi,minimal,cukup,normal,cerah kering,19,0.00031735426757975615
panas,kering,panas,kering,berawan,tinggi,minimal,cukup,rendah,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,berawan,tinggi,minimal,lemah,normal,cerah kering,3,5.0108568565224654e-05
panas,kering,panas,kering,berawan,tinggi,minimal,lemah,rendah,cerah kering,1,1.6702856188408217e-05
panas,kering,panas,kering,berawan,tinggi,minimal,tinggi,normal,cerah kering,7,0.00011691999331885753
panas,kering,panas,kering,berawan,tinggi,minimal,tinggi,rendah,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,berawan,tinggi,sedang,cukup,normal,cerah kering,46,0.0007683313846667781
panas,kering,panas,kering,berawan,tinggi,sedang,cukup,rendah,cerah kering,9,0.00015032570569567397
panas,kering,panas,kering,berawan,tinggi,sedang,lemah,normal,cerah kering,6,0.00010021713713044931
panas,kering,panas,kering,berawan,tinggi,sedang,lemah,rendah,cerah kering,1,1.6702856188408217e-05
panas,kering,panas,kering,berawan,tinggi,sedang,tinggi,normal,cerah kering,6,0.00010021713713044931
panas,kering,panas,kering,berawan,tinggi,sedang,tinggi,rendah,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,terang,sedang,minimal,cukup,normal,cerah kering,27,0.00045097711708702186
panas,kering,panas,kering,terang,sedang,minimal,cukup,rendah,cerah kering,5,8.351428094204109e-05
panas,kering,panas,kering,terang,sedang,minimal,lemah,normal,cerah kering,4,6.681142475363287e-05
panas,kering,panas,kering,terang,sedang,minimal,lemah,rendah,cerah kering,1,1.6702856188408217e-05
panas,kering,panas,kering,terang,sedang,minimal,tinggi,normal,cerah kering,5,8.351428094204109e-05
panas,kering,panas,kering,terang,sedang,minimal,tinggi,rendah,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,terang,sedang,sedang,cukup,normal,cerah kering,61,0.0010188742274929014
panas,kering,panas,kering,terang,sedang,sedang,cukup,rendah,cerah kering,9,0.00015032570569567397
panas,kering,panas,kering,terang,sedang,sedang,lemah,normal,cerah kering,8,0.00013362284950726574
panas,kering,panas,kering,terang,sedang,sedang,lemah,rendah,cerah kering,3,5.0108568565224654e-05
panas,kering,panas,kering,terang,sedang,sedang,tinggi,normal,cerah kering,9,0.00015032570569567397
panas,kering,panas,kering,terang,sedang,sedang,tinggi,rendah,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,terang,tinggi,minimal,cukup,normal,cerah kering,16,0.00026724569901453147
panas,kering,panas,kering,terang,tinggi,minimal,lemah,normal,cerah kering,2,3.3405712376816434e-05
panas,kering,panas,kering,terang,tinggi,minimal,lemah,rendah,cerah kering,1,1.6702856188408217e-05
panas,kering,panas,kering,terang,tinggi,minimal,tinggi,normal,cerah kering,4,6.681142475363287e-05
panas,kering,panas,kering,terang,tinggi,sedang,cukup,normal,cerah kering,29,0.0004843828294638383
